sum:5415,dvd:0
sum:66996,dvd:61581
sum:144531,dvd:77535
sum:290082,dvd:145551
sum:442338,dvd:152256
sum:580989,dvd:138651
sum:585602,dvd:4613
sum:653584,dvd:67982
sum:761609,dvd:108025
sum:860414,dvd:98805
sum:1046469,dvd:186055
sum:1053962,dvd:7493
sum:1117089,dvd:63127
sum:1122143,dvd:5054
sum:1182756,dvd:60613
sum:1313568,dvd:130812
sum:1334653,dvd:21085
sum:1436497,dvd:101844
sum:1496613,dvd:60116
sum:1504650,dvd:8037
sum:1557939,dvd:53289
sum:1619826,dvd:61887
sum:1633269,dvd:13443
sum:1692137,dvd:58868
sum:1715560,dvd:23423
sum:1799556,dvd:83996
sum:1870622,dvd:71066
sum:1906123,dvd:35501
sum:2204391,dvd:298268
sum:2224885,dvd:20494
sum:2287673,dvd:62788
sum:2444301,dvd:156628
sum:2482939,dvd:38638
sum:2621031,dvd:138092
sum:2782709,dvd:161678
sum:2795673,dvd:12964
sum:2797634,dvd:1961
sum:3045238,dvd:247604
sum:3161359,dvd:116121
sum:3279242,dvd:117883
sum:3449156,dvd:169914
sum:3469324,dvd:20168
sum:3536093,dvd:66769
sum:3589790,dvd:53697
sum:3828674,dvd:238884
sum:3873057,dvd:44383
sum:4129509,dvd:256452
sum:4155896,dvd:26387
sum:4214544,dvd:58648
sum:4293411,dvd:78867
sum:4485307,dvd:191896
sum:4504434,dvd:19127
sum:4539035,dvd:34601
sum:4572823,dvd:33788
sum:4968755,dvd:395932
sum:4971648,dvd:2893
sum:4984507,dvd:12859
sum:5062019,dvd:77512
sum:5195071,dvd:133052
sum:5301798,dvd:106727
sum:5370533,dvd:68735
sum:5379523,dvd:8990
sum:5561358,dvd:181835
sum:5655385,dvd:94027
sum:5669712,dvd:14327
sum:5751312,dvd:81600
sum:5797645,dvd:46333
sum:5814371,dvd:16726
sum:5915477,dvd:101106
sum:5932935,dvd:17458
sum:5973792,dvd:40857
sum:5983631,dvd:9839
sum:6027651,dvd:44020
sum:6028821,dvd:1170
sum:6072255,dvd:43434
sum:6152269,dvd:80014
sum:6187979,dvd:35710
sum:6198586,dvd:10607
sum:6235103,dvd:36517
sum:6257055,dvd:21952
sum:6296475,dvd:39420
sum:6338602,dvd:42127
sum:6341892,dvd:3290
sum:6349447,dvd:7555
sum:6575711,dvd:226264
sum:6687723,dvd:112012
sum:6883356,dvd:195633
sum:6898933,dvd:15577
sum:6908112,dvd:9179
sum:6931160,dvd:23048
sum:7031221,dvd:100061
sum:7107079,dvd:75858
sum:7345140,dvd:238061
sum:7345987,dvd:847
sum:7467118,dvd:121131
sum:7480373,dvd:13255
sum:7623071,dvd:142698
sum:7791920,dvd:168849
sum:7826375,dvd:34455
sum:7925740,dvd:99365
sum:7963742,dvd:38002
sum:8067891,dvd:104149
sum:8166306,dvd:98415
sum:8214532,dvd:48226
sum:8227655,dvd:13123
sum:8240745,dvd:13090
sum:8315650,dvd:74905
sum:8343283,dvd:27633
sum:8452932,dvd:109649
sum:8580960,dvd:128028
sum:8633277,dvd:52317
sum:8701684,dvd:68407
sum:8843633,dvd:141949
sum:8899842,dvd:56209
sum:8929823,dvd:29981
sum:9034147,dvd:104324
sum:9060070,dvd:25923
sum:9118474,dvd:58404
sum:9217412,dvd:98938
sum:9217683,dvd:271
sum:9313842,dvd:96159
sum:9330320,dvd:16478
sum:9373190,dvd:42870
sum:9376826,dvd:3636
