sum:988565,dvd:0
sum:3069209,dvd:2080644
sum:3661068,dvd:591859
sum:9803824,dvd:6142756
sum:9835298,dvd:31474
sum:10737578,dvd:902280
sum:11053910,dvd:316332
sum:13335890,dvd:2281980
sum:14783237,dvd:1447347
sum:17777855,dvd:2994618
sum:19028289,dvd:1250434
sum:19598427,dvd:570138
sum:20939839,dvd:1341412
sum:25642348,dvd:4702509
sum:27637911,dvd:1995563
sum:31585431,dvd:3947520
sum:31881975,dvd:296544
sum:33353653,dvd:1471678
sum:34007468,dvd:653815
sum:34783429,dvd:775961
sum:36948628,dvd:2165199
sum:37306822,dvd:358194
sum:37567551,dvd:260729
sum:38527492,dvd:959941
sum:39043114,dvd:515622
sum:39220502,dvd:177388
sum:43872916,dvd:4652414
sum:45258288,dvd:1385372
sum:46318422,dvd:1060134
sum:46445260,dvd:126838
sum:47751947,dvd:1306687
sum:49647027,dvd:1895080
sum:52229849,dvd:2582822
sum:56829240,dvd:4599391
sum:58599758,dvd:1770518
sum:58918230,dvd:318472
sum:64192001,dvd:5273771
sum:66202438,dvd:2010437
sum:69644696,dvd:3442258
sum:70257143,dvd:612447
sum:82145513,dvd:11888370
sum:83350248,dvd:1204735
sum:84614829,dvd:1264581
sum:86801038,dvd:2186209
sum:92751653,dvd:5950615
sum:93931581,dvd:1179928
sum:94865124,dvd:933543
sum:95368001,dvd:502877
sum:96756523,dvd:1388522
