sum:1161012,dvd:0
sum:1237961,dvd:76949
sum:1259768,dvd:21807
sum:1376264,dvd:116496
sum:1450324,dvd:74060
sum:2451040,dvd:1000716
sum:2508071,dvd:57031
sum:2806340,dvd:298269
sum:2929548,dvd:123208
sum:3147795,dvd:218247
sum:3345935,dvd:198140
sum:3371329,dvd:25394
sum:4111765,dvd:740436
sum:4415423,dvd:303658
sum:4438260,dvd:22837
sum:4767898,dvd:329638
sum:5097441,dvd:329543
sum:5369847,dvd:272406
sum:5414202,dvd:44355
sum:5813589,dvd:399387
sum:6302796,dvd:489207
sum:6616285,dvd:313489
sum:7087620,dvd:471335
sum:7647335,dvd:559715
sum:8116048,dvd:468713
sum:8350345,dvd:234297
sum:8353062,dvd:2717
sum:8739962,dvd:386900
sum:9061706,dvd:321744
sum:9766716,dvd:705010
sum:9807602,dvd:40886
sum:9996553,dvd:188951
sum:10764291,dvd:767738
sum:11157663,dvd:393372
sum:11724794,dvd:567131
sum:12102062,dvd:377268
sum:12523692,dvd:421630
sum:13060569,dvd:536877
sum:13207903,dvd:147334
sum:13208619,dvd:716
sum:13342087,dvd:133468
sum:13342166,dvd:79
sum:13836426,dvd:494260
sum:13999299,dvd:162873
sum:15072602,dvd:1073303
sum:15208396,dvd:135794
sum:15689668,dvd:481272
sum:16083860,dvd:394192
sum:16565779,dvd:481919
sum:16868984,dvd:303205
sum:17087780,dvd:218796
sum:18021018,dvd:933238
sum:18536603,dvd:515585
sum:18898410,dvd:361807
sum:19217712,dvd:319302
sum:19776185,dvd:558473
sum:20138075,dvd:361890
sum:20825914,dvd:687839
sum:20988913,dvd:162999
sum:21332583,dvd:343670
sum:22885250,dvd:1552667
sum:23550462,dvd:665212
sum:23703701,dvd:153239
sum:23715429,dvd:11728
sum:23778698,dvd:63269
sum:23898279,dvd:119581
sum:23919778,dvd:21499
sum:24312794,dvd:393016
sum:24316863,dvd:4069
sum:24444833,dvd:127970
sum:24631843,dvd:187010
sum:26593628,dvd:1961785
sum:26615739,dvd:22111
sum:27001740,dvd:386001
sum:27077968,dvd:76228
sum:27462371,dvd:384403
sum:27790216,dvd:327845
sum:28434971,dvd:644755
sum:28493225,dvd:58254
sum:29435558,dvd:942333
sum:31388045,dvd:1952487
sum:31860168,dvd:472123
sum:32773345,dvd:913177
sum:33342899,dvd:569554
sum:33356756,dvd:13857
sum:35763137,dvd:2406381
sum:36295095,dvd:531958
sum:37706376,dvd:1411281
sum:39032550,dvd:1326174
sum:39102138,dvd:69588
sum:39934647,dvd:832509
sum:40110431,dvd:175784
sum:41568775,dvd:1458344
sum:42446687,dvd:877912
sum:43688754,dvd:1242067
sum:43751488,dvd:62734
sum:44717946,dvd:966458
sum:46076430,dvd:1358484
sum:46213381,dvd:136951
sum:46334389,dvd:121008
sum:46564341,dvd:229952
sum:46865548,dvd:301207
sum:46941408,dvd:75860
sum:47133832,dvd:192424
sum:47144587,dvd:10755
sum:48106544,dvd:961957
sum:48687067,dvd:580523
sum:48939087,dvd:252020
sum:50580604,dvd:1641517
sum:50902239,dvd:321635
sum:51042653,dvd:140414
sum:51582830,dvd:540177
sum:52231097,dvd:648267
sum:52682867,dvd:451770
sum:52915667,dvd:232800
sum:54060463,dvd:1144796
sum:54378677,dvd:318214
sum:54720700,dvd:342023
sum:55258491,dvd:537791
sum:55627180,dvd:368689
sum:55903227,dvd:276047
sum:56008145,dvd:104918
sum:56687320,dvd:679175
sum:57014032,dvd:326712
sum:57421007,dvd:406975
sum:57665122,dvd:244115
sum:58043488,dvd:378366
sum:59880430,dvd:1836942
sum:60182183,dvd:301753
sum:60193851,dvd:11668
sum:60663070,dvd:469219
sum:60898859,dvd:235789
sum:61473228,dvd:574369
sum:61926038,dvd:452810
sum:62789841,dvd:863803
sum:63917605,dvd:1127764
sum:64037656,dvd:120051
sum:64116037,dvd:78381
sum:64232980,dvd:116943
sum:64491095,dvd:258115
sum:64749315,dvd:258220
sum:67223911,dvd:2474596
sum:68514136,dvd:1290225
sum:68536211,dvd:22075
sum:70008329,dvd:1472118
sum:71820749,dvd:1812420
sum:72074071,dvd:253322
sum:72257479,dvd:183408
sum:72927055,dvd:669576
sum:73329864,dvd:402809
sum:73940940,dvd:611076
sum:74092758,dvd:151818
sum:74104312,dvd:11554
sum:74686508,dvd:582196
sum:74748029,dvd:61521
sum:75001110,dvd:253081
sum:75565985,dvd:564875
sum:75847742,dvd:281757
sum:75952203,dvd:104461
sum:76143638,dvd:191435
sum:76288210,dvd:144572
sum:76647444,dvd:359234
sum:76736233,dvd:88789
sum:77494285,dvd:758052
sum:78707675,dvd:1213390
sum:78772052,dvd:64377
sum:79117847,dvd:345795
sum:80024828,dvd:906981
sum:81436650,dvd:1411822
sum:82134119,dvd:697469
sum:82328145,dvd:194026
sum:83753094,dvd:1424949
sum:83910267,dvd:157173
sum:84205095,dvd:294828
sum:84519189,dvd:314094
sum:84566049,dvd:46860
sum:84641200,dvd:75151
sum:84641856,dvd:656
sum:84804930,dvd:163074
sum:84822356,dvd:17426
sum:84855060,dvd:32704
sum:85078538,dvd:223478
sum:86278736,dvd:1200198
sum:86711318,dvd:432582
sum:86758328,dvd:47010
sum:87511003,dvd:752675
sum:89392283,dvd:1881280
sum:90112664,dvd:720381
sum:90353243,dvd:240579
sum:90484045,dvd:130802
sum:91935947,dvd:1451902
sum:92100227,dvd:164280
sum:92159185,dvd:58958
sum:93793191,dvd:1634006
sum:94049601,dvd:256410
sum:94605840,dvd:556239
sum:95150842,dvd:545002
sum:95641357,dvd:490515
sum:96338695,dvd:697338
sum:99060065,dvd:2721370
sum:99670876,dvd:610811
