sum:359025,dvd:0
sum:371991,dvd:12966
sum:1158589,dvd:786598
sum:1573609,dvd:415020
sum:1654559,dvd:80950
sum:2759992,dvd:1105433
sum:3309671,dvd:549679
sum:4441057,dvd:1131386
sum:4524102,dvd:83045
sum:4976065,dvd:451963
sum:5022620,dvd:46555
sum:5580131,dvd:557511
sum:6364782,dvd:784651
sum:6782672,dvd:417890
sum:7305589,dvd:522917
sum:7483305,dvd:177716
sum:7622760,dvd:139455
sum:7911082,dvd:288322
sum:10472738,dvd:2561656
sum:10540328,dvd:67590
sum:10601247,dvd:60919
sum:11339393,dvd:738146
sum:11410290,dvd:70897
sum:11717389,dvd:307099
sum:13041121,dvd:1323732
sum:14312981,dvd:1271860
sum:15367418,dvd:1054437
sum:15475366,dvd:107948
sum:15766759,dvd:291393
sum:15855913,dvd:89154
sum:16868013,dvd:1012100
sum:17100038,dvd:232025
sum:17972280,dvd:872242
sum:18091968,dvd:119688
sum:18962824,dvd:870856
sum:20219329,dvd:1256505
sum:21039952,dvd:820623
sum:21188724,dvd:148772
sum:21554648,dvd:365924
sum:21689812,dvd:135164
sum:21713887,dvd:24075
sum:22280600,dvd:566713
sum:23621608,dvd:1341008
sum:24033124,dvd:411516
sum:24134173,dvd:101049
sum:27797189,dvd:3663016
sum:30790352,dvd:2993163
sum:31223391,dvd:433039
sum:31312284,dvd:88893
sum:32412127,dvd:1099843
sum:32419266,dvd:7139
sum:32760017,dvd:340751
sum:32774887,dvd:14870
sum:33039493,dvd:264606
sum:33177443,dvd:137950
sum:33606657,dvd:429214
sum:34217878,dvd:611221
sum:34248205,dvd:30327
sum:34682954,dvd:434749
sum:34995537,dvd:312583
sum:37960481,dvd:2964944
sum:38520035,dvd:559554
sum:39986633,dvd:1466598
sum:40021534,dvd:34901
sum:40982307,dvd:960773
sum:41092765,dvd:110458
sum:41658991,dvd:566226
sum:41892497,dvd:233506
sum:42154766,dvd:262269
sum:42432514,dvd:277748
sum:42973729,dvd:541215
sum:44416156,dvd:1442427
sum:45058925,dvd:642769
sum:45822617,dvd:763692
sum:46778748,dvd:956131
sum:46804335,dvd:25587
sum:46881891,dvd:77556
sum:46884396,dvd:2505
sum:47122649,dvd:238253
sum:47683314,dvd:560665
sum:47879216,dvd:195902
sum:48116707,dvd:237491
sum:48515502,dvd:398795
sum:48687146,dvd:171644
sum:48987650,dvd:300504
sum:49972949,dvd:985299
sum:50115476,dvd:142527
sum:50408500,dvd:293024
sum:51959984,dvd:1551484
sum:52658677,dvd:698693
sum:53080890,dvd:422213
sum:53104227,dvd:23337
sum:53142726,dvd:38499
sum:53654036,dvd:511310
sum:53978245,dvd:324209
sum:54201347,dvd:223102
sum:54671289,dvd:469942
sum:55914130,dvd:1242841
sum:56172948,dvd:258818
sum:56407966,dvd:235018
sum:56478163,dvd:70197
sum:57452523,dvd:974360
sum:57553808,dvd:101285
sum:59861276,dvd:2307468
sum:60175588,dvd:314312
sum:60300241,dvd:124653
sum:60575042,dvd:274801
sum:61052246,dvd:477204
sum:61552756,dvd:500510
sum:61804028,dvd:251272
sum:61942748,dvd:138720
sum:62027652,dvd:84904
sum:63016709,dvd:989057
sum:63146251,dvd:129542
sum:63509966,dvd:363715
sum:63754826,dvd:244860
sum:64277490,dvd:522664
sum:64919550,dvd:642060
sum:64945628,dvd:26078
sum:65253236,dvd:307608
sum:65838091,dvd:584855
sum:66141385,dvd:303294
sum:66509192,dvd:367807
sum:66802909,dvd:293717
sum:67071241,dvd:268332
sum:67284994,dvd:213753
sum:70062475,dvd:2777481
sum:70085777,dvd:23302
sum:70705437,dvd:619660
sum:70861236,dvd:155799
sum:71029627,dvd:168391
sum:71915748,dvd:886121
sum:73128836,dvd:1213088
sum:73171227,dvd:42391
sum:73635538,dvd:464311
sum:73797317,dvd:161779
sum:74635911,dvd:838594
sum:75383679,dvd:747768
sum:75465954,dvd:82275
sum:76058160,dvd:592206
sum:76252642,dvd:194482
sum:76497565,dvd:244923
sum:77390753,dvd:893188
sum:77571654,dvd:180901
sum:78128198,dvd:556544
sum:78135746,dvd:7548
sum:78192551,dvd:56805
sum:78282415,dvd:89864
sum:78488394,dvd:205979
sum:78896395,dvd:408001
sum:79090575,dvd:194180
sum:79385711,dvd:295136
sum:79594383,dvd:208672
sum:80703413,dvd:1109030
sum:80803987,dvd:100574
sum:81262798,dvd:458811
sum:82020824,dvd:758026
sum:82581531,dvd:560707
sum:82655459,dvd:73928
sum:82754621,dvd:99162
sum:82789232,dvd:34611
sum:82833108,dvd:43876
sum:83568529,dvd:735421
sum:85708515,dvd:2139986
sum:86013330,dvd:304815
sum:86607408,dvd:594078
sum:87978872,dvd:1371464
sum:89095565,dvd:1116693
sum:89122642,dvd:27077
sum:90034794,dvd:912152
sum:90294953,dvd:260159
sum:90520657,dvd:225704
sum:90579297,dvd:58640
sum:90751120,dvd:171823
sum:91449064,dvd:697944
sum:92557759,dvd:1108695
sum:92716001,dvd:158242
sum:93057081,dvd:341080
sum:93065516,dvd:8435
sum:93194612,dvd:129096
sum:93909299,dvd:714687
sum:93978734,dvd:69435
sum:94004228,dvd:25494
sum:94449812,dvd:445584
sum:94686490,dvd:236678
sum:95165897,dvd:479407
sum:95794015,dvd:628118
sum:96064713,dvd:270698
sum:96196763,dvd:132050
sum:96764951,dvd:568188
sum:96890310,dvd:125359
sum:98418689,dvd:1528379
sum:98661014,dvd:242325
sum:99235617,dvd:574603
sum:99383266,dvd:147649
sum:99603847,dvd:220581
